Timestamp,Email Address,Full Name,Category,Anchor?,Colour?,Number of Attempts,Belayer (Full Name),Witness #2 (Full Name)
2/8/2023 14:18:41,john.smith@example.com,John Smith,Recreational - men,8,Blue,2nd try,Emily Lee,Mark Johnson
2/8/2023 14:19:59,john.smith@example.com,John Smith,Recreational - men,4,Red,Flash,Emily Lee,David Kim
2/8/2023 14:21:11,mark.johnson@example.com,Mark Johnson,Open - men,9,Black,3rd try,David Kim,John Smith
2/8/2023 14:22:55,jane.doe@example.com,Jane Doe,Open - anyone but men,6,Orange,3rd try,Sarah Anderson,Emily Lee
2/8/2023 14:25:42,mark.johnson@example.com,Marky Johnson,Open - men,10,Blue,3rd try,John Smith,Jane Doe
2/8/2023 14:30:49,mark.johnson@example.com,Marky Johnson,Open - men,8,Black,Flash,Rachel Brown,Adam Jones
2/8/2023 14:44:02,mark.johnson@example.com,Marky Johnson,Recreational - men,9,Orange,3rd try,Amy Patel,David Kim
2/8/2023 14:47:42,jane.doe@example.com,Jane Doe,Open - anyone but men,9,Red,3rd try,Sarah Anderson,Emily Lee
2/8/2023 14:49:42,jane.doe@example.com,Jane Doe,Open - anyone but men,3,Blue,3rd try,Sarah Anderson,Emily Lee
2/8/2023 14:52:42,jane.doe@example.com,Jane Doe,Open - anyone but men,4,Green,3rd try,Sarah Anderson,Emily Lee
2/8/2023 14:55:42,mark.johnson@example.com,Mark Johnson,Open - men,10,Blue,3rd try,John Smith,John Smith
